STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,WINTER,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05,-79.45,10/1/2010,2010-2011,217,-44,152,19,85
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05,-79.45,11/1/2010,2010-2011,178,-100,91,-38,26
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05,-79.45,12/1/2010,2010-2011,122,-178,-48,-114,-81
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05,-79.45,1/1/2011,2010-2011,83,-261,-21,-109,-65
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05,-79.45,2/1/2011,2010-2011,128,-178,43,-64,-11
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05,-79.45,3/1/2011,2010-2011,183,-128,75,-39,18
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05,-79.45,4/1/2011,2010-2011,272,-50,147,28,87
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05,-79.45,5/1/2011,2010-2011,289,-11,221,86,153
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05361,-79.44833,10/1/2011,2011-2012,156,-56,89,2,45
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05361,-79.44833,11/1/2011,2011-2012,200,-89,124,-15,54
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05361,-79.44833,12/1/2011,2011-2012,139,-156,45,-51,-3
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05361,-79.44833,1/1/2012,2011-2012,133,-189,33,-73,-20
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05361,-79.44833,2/1/2012,2011-2012,139,-167,47,-52,-3
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,987.6,39.05361,-79.44833,3/1/2012,2011-2012,228,-150,153,-6,73
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,991.8,39.0483,-79.4406,1/1/2013,2012-2013,178,-222,24,-70,-23
GHCND:USC00461397,CANAAN VALLEY NUMBER 2 WV US,991.8,39.0483,-79.4406,2/1/2013,2012-2013,106,-183,9,-92,-41
,GHCND:USC00461397,991.8,39.0483,-79.4406,3/1/2013,2012-2013,156,-122,23,-61,-19
,GHCND:USC00461397,991.8,39.0483,-79.4406,4/1/2013,2012-2013,239,-106,152,18,85
,GHCND:USC00461397,991.8,39.0483,-79.4406,5/1/2013,2012-2013,278,-50,190,57,123
